property_type,num_beds,size_sqft,floor_level,furnishing,lat,lng,subzone,planning_area,price,years_left,dist_from_changi_airport,dist_from_cbd,dist_from_nearest_mall,dist_from_nearest_sschool,dist_from_nearest_pschool,dist_from_nearest_comm,dist_from_nearest_mrt
hdb,4,1389,unknown,unspecified,1.3745984999999998,103.94197504158748,pasir ris west,pasir ris,840000.0,72,5.51,14.21,0.44,1.1,0.77,1.4,0.83
condo,1,581,high,unspecified,1.3295936,103.8694977,sennett,toa payoh,955500.0,94,13.6,5.43,0.26,0.44,0.5,2.39,0.2
condo,2,872,unknown,unspecified,1.3533168,103.7896255,central water catchment,central water catchment,1667400.0,101,22.13,10.31,1.72,2.86,2.25,5.18,2.05
condo,2,861,unknown,unspecified,1.328975,103.94437047187644,bedok north,bedok,1050000.0,78,5.84,11.48,1.68,0.29,0.74,2.41,0.3
hdb,2,785,unknown,unspecified,1.3504006,103.95490477548174,tampines east,tampines,420000.0,61,3.82,13.66,0.91,0.47,0.44,1.12,0.64
condo,1,603,unknown,unspecified,1.38702485,103.86962346377868,seletar hills,serangoon,756000.0,91,13.62,11.58,0.06,1.04,0.61,1.12,2.66
landed,4,3000,unknown,unspecified,1.3987858,103.8179545,springleaf,yishun,4861500.0,982,19.52,13.24,3.37,2.68,2.49,4.92,0.13
condo,4,2002,unknown,unspecified,1.3027702,103.8694351,tanjong rhu,kallang,7129500.0,100,14.57,2.89,0.38,1.45,1.36,2.25,0.66
condo,2,646,unknown,partial,1.32970335,103.90568292831622,kaki bukit,bedok,1360800.0,1000,9.71,7.88,1.74,0.5,0.47,1.86,0.66
condo,2,829,unknown,unspecified,1.3162896000000002,103.8405759660977,moulmein,novena,2231200.0,999,17.08,3.78,0.35,0.63,0.57,0.52,0.53
landed,7,3800,unknown,unspecified,1.3642682,103.9675891,flora drive,pasir ris,3150000.0,73,2.44,15.68,0.44,1.08,0.72,2.25,1.7
condo,3,1195,low,fully,1.3786175,103.9591009444671,pasir ris park,pasir ris,1239000.0,81,4.01,15.91,0.51,0.62,0.68,1.79,1.25
hdb,2,700,unknown,unspecified,1.3045459,103.9150503815288,marine parade,marine parade,441000.0,52,10.06,7.43,1.12,0.37,0.34,2.83,1.84
hdb,2,732,unknown,unspecified,1.41483,103.84002753628975,lower seletar,yishun,451500.0,93,17.69,14.53,0.4,0.24,0.26,3.04,0.83
hdb,4,1603,unknown,unspecified,1.3657750000000002,103.95653871628758,pasir ris drive,pasir ris,838800.0,71,3.67,14.79,0.91,0.13,0.53,1.88,1.08
hdb,3,1000,unknown,unspecified,1.32713885,103.860468722052,balestier,novena,764400.0,93,14.64,4.88,1.01,0.29,0.66,1.49,0.82
hdb,3,1194,unknown,unspecified,1.3987451,103.7480621,yew tee,choa chu kang,577500.0,74,27.14,17.13,0.13,0.25,0.39,1.95,0.15
hdb,4,1440,unknown,unspecified,1.3663655499999998,103.96243184121396,pasir ris drive,pasir ris,808500.0,70,3.06,15.35,0.26,0.55,0.16,2.31,1.42
landed,5,4284,unknown,unspecified,1.3732243,103.8299883,sembawang hills,ang mo kio,5859000.0,957,17.72,10.16,1.78,0.47,0.48,3.2,0.76
condo,4,1227,unknown,partial,1.316643,103.85763,lavender,kallang,2520000.0,1000,15.25,3.68,0.61,0.92,0.58,1.63,0.5
hdb,3,1184,unknown,fully,1.3866844,103.75977167010612,senja,bukit panjang,714000.0,81,25.65,15.27,0.7,0.18,0.36,3.34,0.8
hdb,3,1184,unknown,unspecified,1.3745033,103.7434393058213,keat hong,choa chu kang,693000.0,93,27.33,15.65,0.33,0.95,0.41,4.58,1.21
hdb,2,688,unknown,unspecified,1.35089275,103.87532535,upper paya lebar,serangoon,409500.0,55,12.61,7.87,0.35,0.41,0.8,0.34,0.29
condo,3,1873,unknown,partial,1.2987726,103.895798,mountbatten,marine parade,5555600.0,999,12.19,5.2,0.82,0.89,0.89,2.16,1.32
condo,3,1410,unknown,unspecified,1.35112195,103.69668831773896,yunnan,jurong west,1562400.0,77,32.48,18.76,0.23,0.63,0.32,0.31,1.5
condo,4,1808,unknown,unfurnished,1.3443339,103.8786904,upper paya lebar,serangoon,3945900.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
condo,1,721,mid,unspecified,1.277361,103.84933771170438,cecil,downtown core,1995000.0,94,17.84,0.76,0.39,1.68,1.07,1.19,0.41
hdb,3,979,unknown,unspecified,1.45216775,103.82125447601146,admiralty,sembawang,493500.0,78,21.35,18.9,0.48,0.8,0.13,2.57,0.37
hdb,3,1270,unknown,unspecified,1.31317605,103.8972381984271,geylang east,geylang,787500.0,53,11.28,6.03,0.33,0.54,0.61,0.69,0.71
landed,5,4910,unknown,unspecified,1.3310976,103.79685463240438,coronation road,bukit timah,6582400.0,992,21.52,8.01,0.87,0.62,1.05,2.82,0.03
hdb,3,1184,unknown,unspecified,1.313735,103.8721933826356,boon keng,kallang,945000.0,83,13.82,4.02,0.98,1.33,1.24,2.42,0.26
hdb,3,1109,unknown,unspecified,1.35142255,103.72076378988513,hong kah,jurong west,477800.0,61,29.8,16.35,1.05,0.2,0.48,2.45,0.79
condo,1,699,unknown,unspecified,1.2754817,103.84159075644158,chinatown,outram,1701000.0,980,18.7,1.44,0.51,1.29,0.19,1.91,0.48
hdb,3,1582,unknown,unspecified,1.3741753499999998,103.9578372,pasir ris drive,pasir ris,913500.0,66,3.87,15.48,0.5,0.27,0.17,2.11,0.96
condo,1,474,mid,unspecified,1.3123637,103.80327091227252,farrer court,bukit timah,1352400.0,1000,21.21,6.22,0.91,1.1,1.09,1.61,0.72
condo,2,614,unknown,unspecified,1.30010805,103.84667445597408,dhoby ghaut,museum,1680000.0,100,17.01,1.87,0.2,0.24,0.66,0.6,0.14
condo,1,474,unknown,unspecified,1.3123637,103.80327091227252,farrer court,bukit timah,1378100.0,1000,21.21,6.22,0.91,1.1,1.09,1.61,0.72
condo,4,2056,unknown,unspecified,1.29410615,103.83673469533848,institution hill,river valley,6606600.0,1002,18.29,1.99,0.53,0.87,1.44,1.53,0.73
landed,5,4200,unknown,unspecified,1.3602446499999998,103.86511076372146,serangoon garden,serangoon,7560000.0,932,13.73,8.57,0.56,0.63,0.3,1.28,0.96
condo,3,969,unknown,unspecified,1.4349279,103.8452818,yishun east,yishun,1165500.0,104,18.09,16.71,1.25,0.52,0.79,3.7,1.29
landed,6,4865,unknown,unspecified,1.36703,103.88996647282468,hougang central,hougang,4229400.0,99,11.01,10.14,0.68,0.81,0.79,1.4,0.54
hdb,2,767,unknown,unspecified,1.3476873,103.72511885,hong kah,jurong west,404200.0,61,29.33,15.73,1.38,0.22,0.4,1.83,0.6
condo,4,1270,unknown,unspecified,1.33869315,103.87174954613296,bidadari,toa payoh,3081800.0,101,13.16,6.46,0.87,0.57,0.54,1.39,0.12
hdb,3,990,low,unspecified,1.3586475,103.87147476513556,serangoon garden,serangoon,575400.0,62,13.02,8.56,0.91,0.1,0.24,0.82,0.9
hdb,3,1313,unknown,unspecified,1.43467,103.83938434858264,northland,yishun,588000.0,63,18.65,16.72,0.79,0.19,0.22,4.14,0.76
condo,2,743,unknown,unspecified,1.3393381,103.7638932,bukit batok south,bukit batok,1792400.0,1001,25.07,11.51,1.4,1.48,0.39,2.23,1.33
hdb,4,1410,unknown,unspecified,1.4299583,103.796294464457,woodlands south,woodlands,714000.0,78,22.84,17.27,0.32,0.19,0.55,1.32,0.44
hdb,3,1184,unknown,unspecified,1.38775885,103.7641263869308,saujana,bukit panjang,603800.0,78,25.19,15.04,0.35,0.24,0.31,3.38,0.96
hdb,2,721,low,partial,1.3368101,103.86261269874156,potong pasir,toa payoh,441000.0,61,14.19,5.98,0.86,0.7,0.68,1.67,0.95
hdb,2,785,unknown,unspecified,1.3700860499999998,103.84248556135908,kebun bahru,ang mo kio,420000.0,56,16.31,9.58,0.44,0.27,0.36,2.22,0.68
hdb,3,1313,unknown,unspecified,1.3429403,103.94937010700484,simei,tampines,682500.0,65,4.64,12.7,0.39,0.48,0.47,1.22,0.45
condo,2,667,unknown,unfurnished,1.36679605,103.8865753660334,kovan,hougang,1394400.0,100,11.39,9.96,0.82,0.76,0.63,1.57,0.75
hdb,3,1356,unknown,unspecified,1.35295305,103.94936484227732,tampines east,tampines,693000.0,61,4.38,13.3,0.49,0.22,0.25,0.47,0.69
condo,3,893,unknown,unspecified,1.29142015,103.84426811480154,clarke quay,singapore river,2957800.0,103,17.64,1.15,0.34,0.98,1.06,0.85,0.12
condo,3,1066,unknown,partial,1.29841635,103.85717773862802,bugis,downtown core,2988300.0,101,16.01,1.72,0.17,0.95,0.6,0.81,0.28
landed,5,4865,unknown,unspecified,1.3004884,103.8277811,one tree hill,river valley,9765000.0,979,18.96,3.21,0.56,1.24,1.1,2.56,0.49
condo,3,2164,unknown,unspecified,1.23962095,103.83771301051394,sentosa,southern islands,4667700.0,88,21.25,5.13,3.19,4.44,4.01,5.54,3.37
condo,2,1066,unknown,unspecified,1.2830264,103.7851434852618,pasir panjang 1,queenstown,1564500.0,976,24.08,7.38,2.08,2.07,1.97,0.71,0.37
condo,2,667,unknown,unspecified,1.3123637,103.80327091227252,farrer court,bukit timah,1771400.0,1000,21.21,6.22,0.91,1.1,1.09,1.61,0.72
condo,3,1109,unknown,unspecified,1.3014769,103.9011745,marine parade,marine parade,2604000.0,999,11.53,5.86,0.27,0.87,0.43,2.03,1.56
landed,5,7534,unknown,unspecified,1.3862854,103.9376076,pasir ris wafer fab park,pasir ris,8925000.0,954,6.49,14.83,0.99,2.33,1.17,0.96,1.96
hdb,4,1216,unknown,unspecified,1.37678035,103.90156026233976,hougang east,hougang,765400.0,94,9.9,11.68,0.93,0.21,0.59,0.17,1.16
condo,2,657,unknown,partial,1.377286,103.7568632,gombak,bukit batok,1241700.0,102,25.87,14.74,0.5,0.67,0.57,4.3,0.54
hdb,3,699,unknown,unspecified,1.3166554,103.8056323,farrer court,bukit timah,554400.0,53,20.84,6.25,1.32,0.63,0.54,2.06,0.21
condo,2,743,mid,partial,1.29636395,103.857202171856,city hall,downtown core,2205000.0,102,16.1,1.52,0.08,1.0,0.6,0.77,0.38
hdb,3,1108,unknown,unspecified,1.35639285,103.93403916780636,tampines west,tampines,588000.0,74,6.06,12.19,0.78,0.36,0.27,1.29,1.3
condo,5,2217,unknown,partial,1.3165593,103.8298930092109,nassim,tanglin,6930000.0,999,18.22,4.33,1.09,0.56,0.63,1.55,0.58
condo,3,969,low,unspecified,1.3520561,103.7584789275562,guilin,bukit batok,1039500.0,82,25.6,12.8,1.05,0.63,0.49,2.94,1.04
condo,3,1066,unknown,unspecified,1.3813785,103.89119243071497,compassvale,sengkang,1605300.0,90,11.14,11.65,0.45,0.83,0.3,1.38,0.27
hdb,3,1184,high,partial,1.3955935,103.8990262464462,sengkang town centre,sengkang,630000.0,79,10.81,13.43,0.6,0.17,0.17,2.24,0.58
condo,3,840,unknown,unspecified,1.4100292,103.8982902404396,punggol town centre,punggol,1050000.0,100,11.59,14.89,0.57,0.37,0.22,1.5,1.43
condo,2,785,unknown,unspecified,1.3162896000000002,103.8405759660977,moulmein,novena,1981100.0,999,17.08,3.78,0.35,0.63,0.57,0.52,0.53
condo,2,721,unknown,unspecified,1.3660231,103.77507192428756,dairy farm,bukit panjang,1164300.0,101,23.77,12.44,1.06,1.04,0.77,5.22,0.94
condo,2,1313,unknown,unspecified,1.30489855,103.8276985894598,tanglin,orchard,5024200.0,999,18.82,3.52,0.3,1.68,1.56,2.42,0.51
condo,2,657,unknown,unspecified,1.377286,103.7568632,gombak,bukit batok,984900.0,102,25.87,14.74,0.5,0.67,0.57,4.3,0.54
condo,3,1238,unknown,partial,1.316643,103.85763,lavender,kallang,2608200.0,1000,15.25,3.68,0.61,0.92,0.58,1.63,0.5
condo,5,1755,unknown,unspecified,1.2915415,103.84517442690934,clarke quay,singapore river,5565000.0,103,17.54,1.09,0.3,0.97,0.97,0.76,0.14
landed,6,4865,unknown,unspecified,1.36703,103.88996647282468,hougang central,hougang,4014200.0,99,11.01,10.14,0.68,0.81,0.79,1.4,0.54
hdb,4,1389,unknown,unspecified,1.3952052,103.7448605,choa chu kang north,choa chu kang,656200.0,72,27.43,17.09,0.27,0.52,0.14,2.43,0.38
condo,2,657,unknown,unspecified,1.310429,103.80282102340084,leedon park,bukit timah,1869000.0,1002,21.31,6.16,0.84,0.88,1.22,1.48,0.74
condo,1,495,top,unspecified,1.31498965,103.8265654202031,nassim,tanglin,997500.0,990,18.62,4.41,0.98,0.77,1.03,1.95,0.56
condo,1,474,unknown,partial,1.3123637,103.80327091227252,farrer court,bukit timah,1438500.0,1000,21.21,6.22,0.91,1.1,1.09,1.61,0.72
landed,6,3928,unknown,unspecified,1.3818572,103.8354903,tagore,ang mo kio,6195000.0,974,17.24,10.97,1.6,0.83,0.72,3.21,0.4
hdb,3,1087,unknown,unspecified,1.3336705,103.84564568462469,toa payoh central,toa payoh,871500.0,76,16.11,5.54,0.37,0.33,0.37,0.31,0.24
hdb,2,721,unknown,unspecified,1.3139608,103.7711126,clementi north,clementi,450300.0,56,24.67,9.54,0.67,0.26,0.44,1.73,0.67
hdb,3,1012,unknown,unspecified,1.3426276,103.95868637747569,simei,tampines,848400.0,88,3.7,13.58,0.65,0.68,0.78,0.56,0.33
condo,1,506,low,fully,1.2847031,103.82980137489204,tiong bahru,bukit merah,1459500.0,95,19.41,2.41,0.33,0.83,0.42,2.61,0.35
hdb,2,721,unknown,unspecified,1.317397,103.7688249,clementi north,clementi,450300.0,55,24.84,9.91,0.54,0.68,0.17,2.19,0.48
condo,1,656,unknown,unspecified,1.2984854499999998,103.83687729504751,leonie hill,river valley,1820000.0,986,18.09,2.29,0.33,1.33,1.63,1.52,0.31
condo,2,603,unknown,unspecified,1.2887652,103.8488122,boat quay,singapore river,1364000.0,1003,17.3,0.61,0.29,1.2,0.99,0.67,0.33
hdb,3,1184,unknown,unspecified,1.3993090499999998,103.91509862474248,waterway east,punggol,597400.0,82,9.38,14.59,0.42,0.43,0.23,1.38,1.81
hdb,3,990,unknown,unspecified,1.4271284,103.840722,yishun central,yishun,554400.0,92,18.15,15.88,0.51,0.69,0.4,3.5,0.69
hdb,2,785,unknown,unspecified,1.3463778,103.93961789313832,tampines west,tampines,451500.0,61,5.58,12.0,0.77,0.57,0.16,0.97,0.16
condo,1,431,mid,unspecified,1.3128181,103.88507992449216,aljunied,geylang,714000.0,992,12.52,4.92,0.95,0.65,0.39,1.11,0.47
landed,6,7006,unknown,unspecified,1.3301951,103.8102275,hillcrest,bukit timah,10899000.0,956,20.07,6.87,2.07,0.65,0.44,3.45,0.59
condo,5,1884,unknown,unspecified,1.3393381,103.7638932,bukit batok south,bukit batok,4438400.0,1001,25.07,11.51,1.4,1.48,0.39,2.23,1.33
hdb,3,1022,high,unspecified,1.34481015,103.74566243957514,bukit batok west,bukit batok,743400.0,94,27.06,13.56,0.71,0.68,0.56,1.72,0.64
hdb,3,1098,unknown,unspecified,1.3860161,103.90397628464564,rivervale,sengkang,567000.0,78,9.92,12.71,0.27,0.61,0.18,1.19,1.13
landed,5,3995,unknown,unspecified,1.4283557,103.7804964,woodgrove,woodlands,3150000.0,75,24.43,17.82,0.57,0.44,0.36,1.14,0.85
condo,1,474,unknown,partial,1.3157213,103.84160862206242,moulmein,novena,1239000.0,993,16.99,3.68,0.28,0.76,0.49,0.51,0.55
hdb,2,721,unknown,unfurnished,1.4332343,103.8015285,woodlands east,woodlands,459800.0,94,22.42,17.42,0.78,0.33,0.44,1.72,0.82
hdb,1,505,unknown,unspecified,1.4194215,103.8421411908078,yishun south,yishun,367500.0,94,17.66,15.02,0.16,0.36,0.26,2.96,1.04
hdb,2,721,unknown,unspecified,1.27342865,103.80700180846044,telok blangah drive,bukit merah,682500.0,90,22.24,5.08,0.62,1.54,0.39,1.58,0.42
hdb,4,1313,unknown,unspecified,1.38063635,103.748371133238,choa chu kang central,choa chu kang,672000.0,66,26.84,15.68,0.45,0.48,0.69,3.92,0.69
hdb,3,1313,unknown,unspecified,1.35344525,103.93553981050346,tampines west,tampines,714000.0,64,5.91,12.11,0.54,0.22,0.4,1.07,0.93
condo,5,1819,unknown,partial,1.27568865,103.83822499656318,everton park,bukit merah,6161400.0,1000,19.01,1.73,0.86,1.18,0.19,2.19,0.54
condo,4,1098,high,unspecified,1.38944175,103.89537273107982,sengkang town centre,sengkang,1680000.0,94,10.94,12.65,0.29,0.46,0.45,1.73,0.25
landed,5,6502,unknown,unspecified,1.3544038,103.8653864,serangoon garden,serangoon,7329000.0,963,13.7,7.94,0.88,0.76,0.41,0.84,0.32
condo,3,1055,unknown,unspecified,1.310429,103.80282102340084,leedon park,bukit timah,2730000.0,1002,21.31,6.16,0.84,0.88,1.22,1.48,0.74
condo,2,872,unknown,partial,1.3129422000000002,103.84155234754564,moulmein,novena,2373000.0,984,17.08,3.39,0.53,0.97,0.68,0.81,0.4
condo,4,3348,unknown,unspecified,1.3108418,103.91424071786366,frankel,bedok,5565000.0,992,9.74,7.59,1.2,0.4,0.62,2.45,1.14
condo,3,1227,unknown,unspecified,1.34112405,103.76518947153818,anak bukit,bukit timah,2047500.0,972,24.92,11.5,1.23,1.53,0.44,2.46,1.18
condo,2,710,unknown,unspecified,1.3084724,103.83637882843551,cairnhill,newton,1344000.0,97,17.78,3.19,0.34,1.25,1.15,1.5,0.46
condo,1,517,unknown,unspecified,1.3178829,103.90317670322858,geylang east,geylang,1155000.0,99,10.46,6.87,1.0,1.08,0.63,1.08,0.21
condo,3,1130,unknown,unspecified,1.316643,103.85763,lavender,kallang,2248000.0,1000,15.25,3.68,0.61,0.92,0.58,1.63,0.5
hdb,3,914,unknown,unspecified,1.3139661,103.8723863167582,boon keng,kallang,892500.0,83,13.79,4.06,1.01,1.3,1.23,2.4,0.3
landed,5,7534,unknown,unspecified,1.3862854,103.9376076,pasir ris wafer fab park,pasir ris,9030000.0,954,6.49,14.83,0.99,2.33,1.17,0.96,1.96
hdb,2,721,unknown,unspecified,1.36959125,103.85841919318976,cheng san,ang mo kio,504000.0,57,14.53,9.5,0.9,0.77,0.61,2.36,0.99
landed,4,4716,unknown,partial,1.30062,103.892783,mountbatten,marine parade,8059800.0,1002,12.37,4.95,1.0,0.57,1.0,1.94,0.97
condo,3,958,unknown,unfurnished,1.3443339,103.8786904,upper paya lebar,serangoon,2164000.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
condo,2,743,unknown,unspecified,1.29636395,103.857202171856,city hall,downtown core,2252200.0,102,16.1,1.52,0.08,1.0,0.6,0.77,0.38
condo,1,700,unknown,unspecified,1.30358825,103.82516875239632,tanglin,orchard,2368300.0,99,19.13,3.65,0.2,1.38,1.37,2.72,0.19
condo,4,1496,unknown,partial,1.304855,103.77377633404797,dover,queenstown,2940000.0,100,24.59,8.95,0.87,0.56,1.39,0.84,0.9
hdb,2,710,unknown,unspecified,1.2918678,103.80266735,mei chin,queenstown,378000.0,47,21.92,5.5,0.44,1.19,0.74,0.52,0.48
hdb,2,796,unknown,partial,1.3343561,103.86927341870928,potong pasir,toa payoh,524000.0,61,13.51,5.92,0.32,0.48,0.54,1.9,0.33
condo,4,1744,mid,unspecified,1.3058321,103.8382586,cairnhill,newton,5775000.0,1000,17.67,2.83,0.31,1.36,1.47,1.67,0.62
condo,2,624,unknown,unfurnished,1.29988105,103.88811428633838,mountbatten,marine parade,1851200.0,101,12.86,4.44,1.31,0.66,1.26,2.11,0.94
hdb,2,731,unknown,unspecified,1.3702891,103.8434139,kebun bahru,ang mo kio,472500.0,55,16.2,9.59,0.34,0.31,0.47,2.21,0.68
landed,5,4184,unknown,unspecified,1.3795542,103.8641187,seletar hills,serangoon,5132400.0,96,14.05,10.67,1.06,1.22,0.9,1.56,1.94
hdb,3,1097,mid,unfurnished,1.3355375,103.92216215797038,bedok reservoir,bedok,596400.0,58,7.77,9.72,1.33,0.57,0.09,3.22,0.47
condo,1,441,high,partial,1.3443339,103.8786904,upper paya lebar,serangoon,1142400.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
condo,3,1959,unknown,unspecified,1.3055371,103.82664893596984,tanglin,orchard,5250000.0,985,18.91,3.65,0.32,1.65,1.6,2.46,0.46
condo,2,775,unknown,unspecified,1.3058321,103.8382586,cairnhill,newton,2278500.0,1000,17.67,2.83,0.31,1.36,1.47,1.67,0.62
condo,3,1141,unknown,unspecified,1.28617715,103.83955002171584,pearl's hill,outram,2505200.0,102,18.36,1.35,0.39,0.27,1.15,1.62,0.66
condo,2,657,unknown,unspecified,1.3443339,103.8786904,upper paya lebar,serangoon,1647400.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
landed,4,2800,unknown,unspecified,1.362771,103.8754883,kovan,hougang,4809000.0,988,12.59,9.12,1.07,0.69,0.72,1.32,1.1
condo,4,1528,unknown,unspecified,1.3124025,103.84117158557598,moulmein,novena,4082400.0,100,17.14,3.35,0.6,0.99,0.76,0.88,0.35
hdb,3,1076,unknown,unspecified,1.3716072499999998,103.87540214808246,serangoon north,serangoon,617400.0,74,12.68,10.05,0.64,0.26,0.19,2.28,1.66
condo,2,678,unknown,partial,1.3443339,103.8786904,upper paya lebar,serangoon,1730400.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
landed,6,4000,unknown,unspecified,1.3197815,103.908881,kembangan,bedok,7140000.0,961,9.79,7.52,1.65,1.17,0.75,1.72,0.47
landed,6,4300,unknown,unspecified,1.3459255,103.9619343,simei,tampines,5040000.0,954,3.22,14.08,1.08,1.1,0.77,0.53,0.47
hdb,3,969,top,unspecified,1.3216557,103.7386216,teban gardens,jurong east,530200.0,80,28.09,13.23,1.29,0.82,1.66,1.2,1.34
hdb,3,882,unknown,unspecified,1.30892345,103.78866319764003,ghim moh,queenstown,514500.0,54,22.88,7.52,0.23,0.93,0.96,0.31,0.35
condo,3,1119,unknown,unspecified,1.29988105,103.88811428633838,mountbatten,marine parade,2584900.0,101,12.86,4.44,1.31,0.66,1.26,2.11,0.94
hdb,3,1000,unknown,unspecified,1.4473779,103.83436595951213,sembawang east,sembawang,551200.0,93,19.82,18.17,0.63,1.34,1.1,4.12,0.7
hdb,3,990,unknown,unspecified,1.377017,103.7401962,peng siang,choa chu kang,556500.0,94,27.71,16.1,0.19,0.54,0.22,4.5,1.03
condo,2,872,unknown,unspecified,1.3306509,103.7670572,sunset way,clementi,1774500.0,1001,24.82,10.72,1.54,1.75,0.76,2.21,1.49
landed,4,4717,unknown,partial,1.30062,103.892783,mountbatten,marine parade,8059800.0,1002,12.37,4.95,1.0,0.57,1.0,1.94,0.97
condo,3,1109,unknown,partial,1.3005809,103.89939364290174,marine parade,marine parade,2772000.0,1001,11.75,5.64,0.41,0.89,0.54,2.05,1.45
condo,1,474,mid,fully,1.2937092,103.8226002,chatsworth,tanglin,1259000.0,996,19.76,3.39,0.97,0.4,0.31,2.15,0.79
condo,3,883,unknown,partial,1.4446778,103.8311689,sembawang east,sembawang,1166600.0,103,19.98,17.92,0.18,0.96,1.12,3.89,0.24
hdb,2,775,unknown,unspecified,1.30582635,103.85526634099988,little india,rochor,535500.0,62,15.89,2.46,0.4,1.0,0.32,1.21,0.07
hdb,3,981,unknown,unspecified,1.4549836,103.8174025,sembawang north,sembawang,551200.0,81,21.87,19.29,0.79,0.38,0.06,2.08,0.72
condo,2,753,unknown,unfurnished,1.29988105,103.88811428633838,mountbatten,marine parade,2270100.0,101,12.86,4.44,1.31,0.66,1.26,2.11,0.94
hdb,4,1324,low,partial,1.3822077,103.74504000514744,choa chu kang central,choa chu kang,682500.0,70,27.23,16.07,0.32,0.69,0.58,3.81,0.36
condo,3,1130,unknown,unspecified,1.3087662,103.8090654,ridout,tanglin,3139500.0,1000,20.68,5.46,1.55,1.08,1.34,2.13,0.98
condo,3,1249,unknown,unspecified,1.3157947,103.8320962933791,nassim,tanglin,3675000.0,999,18.01,4.13,0.97,0.62,0.47,1.34,0.76
condo,2,775,high,unspecified,1.33897705,103.85119975897923,boon teck,toa payoh,1470000.0,97,15.41,6.09,0.83,0.33,0.39,0.78,0.52
hdb,3,980,unknown,unspecified,1.4180703,103.8387971,yishun south,yishun,556500.0,64,17.95,14.9,0.27,0.21,0.17,3.26,0.65
condo,2,721,unknown,partial,1.3707342,103.759633,gombak,bukit batok,1155000.0,101,25.51,14.02,0.92,0.7,1.06,4.92,0.54
hdb,2,732,unknown,unspecified,1.3613327,103.74727694148228,hong kah north,bukit batok,407400.0,63,26.85,14.41,1.26,0.39,0.25,3.33,0.59
landed,6,7015,unknown,unspecified,1.2773807,103.85366394471836,central subzone,downtown core,8998500.0,975,17.43,0.76,0.38,2.09,1.54,1.04,0.16
hdb,3,1140,unknown,unspecified,1.2777916500000002,103.84140360852476,chinatown,outram,1458300.0,88,18.59,1.31,0.5,1.05,0.28,1.77,0.31
condo,4,1604,unknown,unspecified,1.3124025,103.84117158557598,moulmein,novena,4257800.0,100,17.14,3.35,0.6,0.99,0.76,0.88,0.35
condo,3,1033,unknown,unspecified,1.3707342,103.759633,gombak,bukit batok,1575000.0,101,25.51,14.02,0.92,0.7,1.06,4.92,0.54
condo,2,1163,unknown,unspecified,1.30135395,103.84594565183784,mount emily,rochor,2205000.0,88,17.04,2.02,0.15,0.37,0.8,0.76,0.27
condo,4,1216,unknown,unfurnished,1.3443339,103.8786904,upper paya lebar,serangoon,2598800.0,999,12.3,7.33,0.99,0.34,0.34,1.04,0.26
condo,2,635,unknown,unspecified,1.36679605,103.8865753660334,kovan,hougang,1306200.0,100,11.39,9.96,0.82,0.76,0.63,1.57,0.75
hdb,3,1184,high,partial,1.3870525,103.7722878,fajar,bukit panjang,556500.0,79,24.28,14.41,0.41,0.53,0.37,3.89,1.49
hdb,3,1183,top,unspecified,1.3884585,103.8752595856565,fernvale,sengkang,932400.0,82,13.05,11.86,0.37,0.42,0.2,1.59,2.08
hdb,2,699,unknown,unspecified,1.33203315,103.84409033163348,toa payoh central,toa payoh,407400.0,49,16.31,5.38,0.5,0.16,0.22,0.46,0.39
hdb,2,947,unknown,unspecified,1.28541625,103.8312761722304,tiong bahru,bukit merah,785400.0,50,19.23,2.25,0.45,0.66,0.59,2.42,0.48
hdb,3,893,unknown,unspecified,1.3472304,103.85331682368952,bishan east,bishan,556500.0,64,15.08,7.0,0.63,0.43,0.29,0.69,0.65
condo,3,969,unknown,unfurnished,1.4349279,103.8452818,yishun east,yishun,1199100.0,104,18.09,16.71,1.25,0.52,0.79,3.7,1.29
landed,6,2418,unknown,unspecified,1.3307918,103.7577266,toh tuck,clementi,3675000.0,990,25.85,11.65,1.29,1.74,1.26,1.19,1.74
hdb,3,1313,unknown,partial,1.3825334,103.76345187923133,saujana,bukit panjang,722400.0,76,25.19,14.66,0.43,0.75,0.39,3.89,0.41
hdb,3,1646,unknown,unspecified,1.36258175,103.74815778045756,hong kah north,bukit batok,827400.0,62,26.75,14.42,1.39,0.33,0.38,3.5,0.6
hdb,4,1862,high,unspecified,1.3345678,103.9144298818246,kaki bukit,bedok,1207500.0,70,8.62,8.97,1.93,1.05,0.54,2.95,0.4
landed,5,7534,unknown,unspecified,1.3862854,103.9376076,pasir ris wafer fab park,pasir ris,9030000.0,954,6.49,14.83,0.99,2.33,1.17,0.96,1.96
condo,3,965,unknown,unspecified,1.3406712,103.9591569,simei,tampines,828300.0,76,3.76,13.53,0.73,0.69,0.77,0.5,0.28
condo,2,926,unknown,unspecified,1.3157213,103.84160862206242,moulmein,novena,1962600.0,993,16.99,3.68,0.28,0.76,0.49,0.51,0.55
hdb,3,1313,unknown,unspecified,1.38063635,103.748371133238,choa chu kang central,choa chu kang,672000.0,66,26.84,15.68,0.45,0.48,0.69,3.92,0.69
